11.50 3.32
11.74 3.14
11.98 3.23
12.21 3.46
12.45 3.57
12.69 3.52
12.93 3.40
13.17 3.23
13.40 2.98
13.64 3.36
13.88 3.18
14.12 3.13
14.36 3.51
14.60 3.72
14.83 3.09
15.07 3.00
15.31 3.02
15.55 2.97
15.79 2.67
16.02 2.72
16.26 2.95
16.50 3.32
16.74 3.04
16.98 2.92
17.21 2.69
17.45 3.15
17.69 3.05
17.93 3.50
18.17 3.55
18.40 3.56
18.64 3.44
18.88 3.53
19.12 3.28
19.36 3.99
19.60 4.22
19.83 3.85
20.07 3.88
20.31 3.87
20.55 3.92
20.79 4.06
21.02 4.07
21.26 3.99
21.50 4.40
21.74 4.38
21.98 3.90
22.21 4.54
22.45 3.72
22.69 3.63
22.93 3.93
23.17 4.26
23.40 3.96
23.64 3.85
23.88 4.30
24.12 3.97
24.36 3.68
24.60 3.75
24.83 3.77
25.07 3.83
25.31 3.80
25.55 3.64
25.79 3.58
26.02 3.45
26.26 3.44
26.50 3.75
26.74 3.68
26.98 3.18
27.21 3.35
27.45 3.69
27.69 3.58
27.93 3.75
28.17 3.52
28.40 3.18
28.64 3.30
28.88 3.24
29.12 3.75
29.36 3.54
29.60 3.26
29.83 3.34
30.07 3.78
30.31 3.29
30.55 3.40
30.79 3.57
31.02 3.38
31.26 3.34
31.50 3.95
31.74 3.71
31.98 3.47
32.21 3.53
32.45 3.70
32.69 3.94
32.93 3.78
33.17 3.93
33.40 3.67
33.64 3.57
33.88 3.73
34.12 3.77
34.36 3.52
34.60 3.69
34.83 3.91
35.07 3.85
35.31 3.32
35.55 3.59
35.79 3.49
36.02 3.76
36.26 3.73
36.50 3.57
36.74 3.21
36.98 3.23
37.21 3.09
37.45 2.98
37.69 3.07
37.93 2.89
38.17 2.96
38.40 2.68
38.64 2.79
38.88 2.40
39.12 2.47
39.36 2.38
39.60 2.54
39.83 1.88
40.07 2.35
40.31 2.04
40.55 2.38
40.79 2.42
41.02 2.32
41.26 2.31
41.50 2.36
41.74 2.59
41.98 2.79
42.21 2.81
42.45 2.91
42.69 2.80
42.93 3.14
43.17 3.50
43.40 3.50
43.64 3.45
43.88 3.69
44.12 4.06
44.36 3.72
44.60 3.89
44.83 3.61
45.07 3.54
45.31 3.74
45.55 3.35
45.79 3.24
46.02 3.31
46.26 3.75
46.50 4.14
